"Date","Marketing Count","Marketing Cost","Utility Count","Utility Cost","Authentication Count","Authentication Cost"
"Jan 5",4,3.1384,4,0.46,0,0
"Jan 6",3,2.3538,4,0.46,0,0
"Jan 7",1,0.7846,0,0,0,0
"Jan 8",3,2.3538,0,0,0,0
"Jan 20",2,1.5692,0,0,0,0
"Jan 21",0,0,1,0.115,0,0
